,Word,Frequency,Classification
16850,ult sext,43,FAKE
47972,ataqu nucle,43,FAKE
1392,comet crim,42,FAKE
1393,crim corrupca,42,FAKE
2359,presid transpetr,42,FAKE
3844,govern petist,42,FAKE
3908,cunh pmdb,42,FAKE
8194,impeachment presid,42,FAKE
11955,deput eduard,42,FAKE
18867,carl buml,42,FAKE
30224,filh lul,42,FAKE
38870,relaco exteri,42,FAKE
