,Word,Frequency,Classification
159,bem,473,REAL NEWS
354,sergi,473,REAL NEWS
680,med,473,REAL NEWS
524,trump,471,REAL NEWS
336,volt,469,REAL NEWS
508,econom,465,REAL NEWS
22,mei,462,REAL NEWS
467,lid,461,REAL NEWS
1286,mulh,460,REAL NEWS
644,ond,456,REAL NEWS
284,val,455,REAL NEWS
1751,forc,454,REAL NEWS
84,jan,450,REAL NEWS
823,alem,447,REAL NEWS
882,milit,446,REAL NEWS
97,algum,445,REAL NEWS
109,ant,444,REAL NEWS
733,delaca,439,REAL NEWS
177,americ,438,REAL NEWS
2227,propin,436,REAL NEWS
481,unid,432,REAL NEWS
1881,regia,431,REAL NEWS
1903,eua,430,REAL NEWS
960,advog,425,REAL NEWS
409,aca,423,REAL NEWS
634,depo,423,REAL NEWS
657,noit,423,REAL NEWS
339,lev,422,REAL NEWS
1476,inaci,421,REAL NEWS
504,reform,418,REAL NEWS
363,recurs,408,REAL NEWS
791,us,405,REAL NEWS
39,hoj,403,REAL NEWS
664,soc,402,REAL NEWS
232,cham,391,REAL NEWS
1352,mes,383,REAL NEWS
189,psdb,382,REAL NEWS
894,form,379,REAL NEWS
326,encontr,378,REAL NEWS
433,port,377,REAL NEWS
798,eleitor,377,REAL NEWS
826,integr,376,REAL NEWS
834,conden,375,REAL NEWS
1315,arm,374,REAL NEWS
131,segu,372,REAL NEWS
185,prefeit,371,REAL NEWS
443,vej,370,REAL NEWS
475,fim,370,REAL NEWS
214,menos,369,REAL NEWS
994,nom,369,REAL NEWS
1357,petist,368,REAL NEWS
1664,trat,367,REAL NEWS
285,campanh,366,REAL NEWS
1104,ocorr,364,REAL NEWS
449,direit,363,REAL NEWS
3393,eldor,362,REAL NEWS
1200,sp,361,REAL NEWS
40,execu,359,REAL NEWS
360,projet,359,REAL NEWS
1301,serv,359,REAL NEWS
737,rodrig,358,REAL NEWS
195,presidenc,357,REAL NEWS
762,agor,353,REAL NEWS
202,neg,351,REAL NEWS
929,inici,351,REAL NEWS
370,entrev,348,REAL NEWS
1,decid,346,REAL NEWS
37,fat,346,REAL NEWS
50,lanc,346,REAL NEWS
1176,mostr,346,REAL NEWS
528,acus,345,REAL NEWS
108,temp,342,REAL NEWS
71,realiz,340,REAL NEWS
1377,centr,339,REAL NEWS
256,jos,338,REAL NEWS
311,pf,338,REAL NEWS
130,precis,336,REAL NEWS
