,Word,Frequency,Classification
12876,forc arm,71,REAL
30464,nest sab,71,REAL
931,doi ano,70,REAL
4027,nest doming,70,REAL
3277,aca penal,69,REAL
21294,dilm tem,69,REAL
1757,ministr edson,68,REAL
3354,marc aureli,68,REAL
5009,ult dia,68,REAL
9001,cas triplex,68,REAL
3230,ministr fazend,66,REAL
16433,lul dilm,66,REAL
882,jair bolsonar,65,REAL
1791,republ pgr,65,REAL
21293,chap dilm,64,REAL
692,tre ano,63,REAL
12633,cad vez,63,REAL
13940,contr presid,63,REAL
13992,obstruca jus,63,REAL
28536,dest segund,63,REAL
248,candidat presidenc,62,REAL
1517,alem diss,62,REAL
5651,us milho,62,REAL
12417,bbc brasil,62,REAL
261,diss nest,61,REAL
5731,esquem corrupca,61,REAL
12271,receb propin,61,REAL
6728,mes prisa,60,REAL
10907,rela lav,60,REAL
13932,don jb,59,REAL
23163,fim seman,59,REAL
36053,febr amarel,59,REAL
39998,arm nucle,59,REAL
6209,cunh pmdb,58,REAL
2657,bernard camp,57,REAL
5155,nest seman,57,REAL
6113,campanh eleitor,57,REAL
7807,contr tem,57,REAL
3744,prim dam,56,REAL
4908,mor franc,56,REAL
20977,var feder,56,REAL
6448,corrupca lav,55,REAL
7017,tribun jus,55,REAL
11659,ano mes,55,REAL
11713,propin odebrecht,55,REAL
16626,process lav,55,REAL
34381,contr ex,55,REAL
92459,monic mour,55,REAL
255,gerald alckmin,54,REAL
11568,cas branc,54,REAL
18874,fas operaca,54,REAL
21008,ministr jus,54,REAL
1134,romer juc,53,REAL
7973,feder brasil,53,REAL
11577,cham atenca,53,REAL
13317,taref lav,53,REAL
