,Word,Frequency,Classification
99992,presid afast,61,FAKE
12587,fez questa,60,FAKE
71009,ministr teor,60,FAKE
82096,ministr jus,60,FAKE
36883,poi bem,59,FAKE
41695,patric carvalh,59,FAKE
544,ano pass,58,FAKE
834,antoni palocc,58,FAKE
11030,carmen luc,58,FAKE
37345,glob new,58,FAKE
363,silvi sant,57,FAKE
2192,mand rec,57,FAKE
2641,polic milit,57,FAKE
2973,ult ano,57,FAKE
8171,ped impeachment,57,FAKE
1382,gleis hoffmann,56,FAKE
4577,govern tem,56,FAKE
15190,dest ano,56,FAKE
1237,ministr supr,55,FAKE
1390,corrupca passiv,55,FAKE
2103,prisa preven,55,FAKE
2357,receb milho,55,FAKE
2358,milho real,55,FAKE
5986,dur ano,55,FAKE
8409,min geral,55,FAKE
56550,forc aere,55,FAKE
1373,sen petist,54,FAKE
3403,s paul,54,FAKE
3682,cir gom,54,FAKE
6299,esquem corrupca,54,FAKE
6692,fim seman,54,FAKE
17116,jos carl,54,FAKE
30227,luil claudi,54,FAKE
1400,cofr publ,53,FAKE
2448,nes cerver,53,FAKE
3573,prox dia,53,FAKE
2387,receb propin,52,FAKE
4361,jorn glob,52,FAKE
6154,jus feder,52,FAKE
6277,prim vez,52,FAKE
10450,lei rouanet,52,FAKE
32046,assist vide,52,FAKE
2058,edson fachin,51,FAKE
8133,ministr gilm,51,FAKE
29951,tard hoj,51,FAKE
6945,prim dam,50,FAKE
16653,sen delcidi,50,FAKE
2275,procurad geral,49,FAKE
3210,port alegr,49,FAKE
3662,vot favor,49,FAKE
9752,fern henriqu,49,FAKE
20787,defês lul,49,FAKE
44350,peninsul core,49,FAKE
3687,dilm lul,48,FAKE
20859,advog lul,48,FAKE
31355,agor pouc,48,FAKE
43280,sul core,48,FAKE
56868,est islam,48,FAKE
148400,presid interin,48,FAKE
448,direit human,47,FAKE
2653,candidat presidenc,47,FAKE
4631,cham atenca,47,FAKE
10815,sobr assunt,47,FAKE
11455,congress nacion,47,FAKE
25437,conf vide,47,FAKE
2136,jos dirc,46,FAKE
2348,ex sen,46,FAKE
2903,presid brasil,46,FAKE
7157,port voz,46,FAKE
7720,ped desculp,46,FAKE
8152,presid stf,46,FAKE
9592,leo pinh,46,FAKE
6291,juiz mor,45,FAKE
67464,don maris,45,FAKE
822,pag propin,44,FAKE
4512,lid govern,44,FAKE
9116,grand part,44,FAKE
40094,bla bla,44,FAKE
1778,cerc mil,43,FAKE
3262,corr risc,43,FAKE
4124,jos serr,43,FAKE
5773,jean wylly,43,FAKE
16842,ult sext,43,FAKE
47964,ataqu nucle,43,FAKE
1388,comet crim,42,FAKE
1389,crim corrupca,42,FAKE
2353,presid transpetr,42,FAKE
3836,govern petist,42,FAKE
3900,cunh pmdb,42,FAKE
8186,impeachment presid,42,FAKE
11947,deput eduard,42,FAKE
18859,carl buml,42,FAKE
30216,filh lul,42,FAKE
38862,relaco exteri,42,FAKE
2740,deput jair,41,FAKE
3901,pmdb rj,41,FAKE
8262,sen aeci,41,FAKE
14908,receb dinh,41,FAKE
17230,rio grand,41,FAKE
22792,voss excelenc,41,FAKE
82351,jos eduard,41,FAKE
2319,denunc contr,40,FAKE
