,Word,Frequency,Classification
7889,crim corrupca,90,REAL
249,presidenc republ,88,REAL
1202,habe corpu,88,REAL
1257,republ rodrig,87,REAL
4256,dest terc,86,REAL
7960,for privilegi,85,REAL
8197,afirm nest,85,REAL
1338,j f,84,REAL
1349,acord delaca,84,REAL
4003,distrit feder,84,REAL
6453,triplex guaruj,84,REAL
16102,regia trf,83,REAL
3258,prest depo,82,REAL
6527,defês lul,82,REAL
6520,rio grand,80,REAL
7988,cas civil,80,REAL
8361,dest sext,80,REAL
10753,ministr supr,80,REAL
11666,passiv lav,80,REAL
6073,ministr stf,79,REAL
16649,ex execu,79,REAL
3193,ult ano,78,REAL
19161,pag propin,78,REAL
42472,presid americ,77,REAL
1408,eleitor tse,76,REAL
8887,antoni palocc,76,REAL
10177,sen aeci,76,REAL
38776,sul core,76,REAL
5905,feder mpf,75,REAL
10178,psdb mg,75,REAL
1263,nest ano,73,REAL
14731,vic presid,73,REAL
449,nev psdb,72,REAL
34706,min geral,72,REAL
6213,pmdb rj,71,REAL
12879,forc arm,71,REAL
30467,nest sab,71,REAL
932,doi ano,70,REAL
4029,nest doming,70,REAL
3279,aca penal,69,REAL
21297,dilm tem,69,REAL
1759,ministr edson,68,REAL
3356,marc aureli,68,REAL
5011,ult dia,68,REAL
9004,cas triplex,68,REAL
3232,ministr fazend,66,REAL
16436,lul dilm,66,REAL
883,jair bolsonar,65,REAL
1793,republ pgr,65,REAL
21296,chap dilm,64,REAL
693,tre ano,63,REAL
12636,cad vez,63,REAL
13943,contr presid,63,REAL
13995,obstruca jus,63,REAL
28539,dest segund,63,REAL
248,candidat presidenc,62,REAL
1519,alem diss,62,REAL
5653,us milho,62,REAL
12420,bbc brasil,62,REAL
261,diss nest,61,REAL
5733,esquem corrupca,61,REAL
12274,receb propin,61,REAL
6731,mes prisa,60,REAL
10910,rela lav,60,REAL
13935,don jb,59,REAL
23166,fim seman,59,REAL
36056,febr amarel,59,REAL
40001,arm nucle,59,REAL
6212,cunh pmdb,58,REAL
2659,bernard camp,57,REAL
5157,nest seman,57,REAL
6115,campanh eleitor,57,REAL
7810,contr tem,57,REAL
3746,prim dam,56,REAL
4910,mor franc,56,REAL
20980,var feder,56,REAL
6451,corrupca lav,55,REAL
7020,tribun jus,55,REAL
11662,ano mes,55,REAL
11716,propin odebrecht,55,REAL
16629,process lav,55,REAL
34384,contr ex,55,REAL
92462,monic mour,55,REAL
255,gerald alckmin,54,REAL
11571,cas branc,54,REAL
18877,fas operaca,54,REAL
21011,ministr jus,54,REAL
1135,romer juc,53,REAL
