,Word,Frequency,Classification
10447,lei rouanet,52,FAKE
32043,assist vide,52,FAKE
2056,edson fachin,51,FAKE
8130,ministr gilm,51,FAKE
29948,tard hoj,51,FAKE
6942,prim dam,50,FAKE
16650,sen delcidi,50,FAKE
2273,procurad geral,49,FAKE
3208,port alegr,49,FAKE
3660,vot favor,49,FAKE
9749,fern henriqu,49,FAKE
20784,defês lul,49,FAKE
44347,peninsul core,49,FAKE
3685,dilm lul,48,FAKE
20856,advog lul,48,FAKE
31352,agor pouc,48,FAKE
43277,sul core,48,FAKE
56865,est islam,48,FAKE
148397,presid interin,48,FAKE
448,direit human,47,FAKE
2651,candidat presidenc,47,FAKE
4628,cham atenca,47,FAKE
10812,sobr assunt,47,FAKE
11452,congress nacion,47,FAKE
25434,conf vide,47,FAKE
2134,jos dirc,46,FAKE
2346,ex sen,46,FAKE
2901,presid brasil,46,FAKE
7154,port voz,46,FAKE
7717,ped desculp,46,FAKE
8149,presid stf,46,FAKE
9589,leo pinh,46,FAKE
6288,juiz mor,45,FAKE
67461,don maris,45,FAKE
820,pag propin,44,FAKE
4509,lid govern,44,FAKE
9113,grand part,44,FAKE
40091,bla bla,44,FAKE
1776,cerc mil,43,FAKE
3260,corr risc,43,FAKE
4121,jos serr,43,FAKE
5770,jean wylly,43,FAKE
16839,ult sext,43,FAKE
47961,ataqu nucle,43,FAKE
1386,comet crim,42,FAKE
1387,crim corrupca,42,FAKE
2351,presid transpetr,42,FAKE
3834,govern petist,42,FAKE
3897,cunh pmdb,42,FAKE
8183,impeachment presid,42,FAKE
11944,deput eduard,42,FAKE
18856,carl buml,42,FAKE
30213,filh lul,42,FAKE
38859,relaco exteri,42,FAKE
2738,deput jair,41,FAKE
3898,pmdb rj,41,FAKE
8259,sen aeci,41,FAKE
14905,receb dinh,41,FAKE
17227,rio grand,41,FAKE
22789,voss excelenc,41,FAKE
82348,jos eduard,41,FAKE
2317,denunc contr,40,FAKE
4170,tod brasil,40,FAKE
5841,triplex guaruj,40,FAKE
12223,presid tem,40,FAKE
