,Word,Frequency,Classification
26,ond,500,FAKE NEWS
141,fez,499,FAKE NEWS
597,grand,497,FAKE NEWS
379,pra,492,FAKE NEWS
945,arm,491,FAKE NEWS
1169,impeachment,488,FAKE NEWS
788,republ,487,FAKE NEWS
657,bem,486,FAKE NEWS
2545,pf,486,FAKE NEWS
623,fat,485,FAKE NEWS
305,grup,484,FAKE NEWS
1497,forc,475,FAKE NEWS
807,empr,474,FAKE NEWS
47,val,466,FAKE NEWS
576,mat,465,FAKE NEWS
94,deu,463,FAKE NEWS
652,quer,458,FAKE NEWS
770,mostr,458,FAKE NEWS
154,vid,452,FAKE NEWS
628,send,449,FAKE NEWS
134,doi,448,FAKE NEWS
841,prisa,446,FAKE NEWS
275,ministeri,442,FAKE NEWS
850,corrupca,441,FAKE NEWS
897,encontr,441,FAKE NEWS
539,qualqu,435,FAKE NEWS
614,odebrecht,435,FAKE NEWS
4961,nucle,433,FAKE NEWS
611,delaca,432,FAKE NEWS
1195,real,432,FAKE NEWS
725,tom,429,FAKE NEWS
412,divulg,428,FAKE NEWS
313,lev,425,FAKE NEWS
631,prox,425,FAKE NEWS
757,vot,425,FAKE NEWS
1122,port,425,FAKE NEWS
1437,defês,425,FAKE NEWS
65,moment,423,FAKE NEWS
1648,eduard,420,FAKE NEWS
553,precis,417,FAKE NEWS
282,direit,416,FAKE NEWS
510,investig,415,FAKE NEWS
939,post,415,FAKE NEWS
419,carg,410,FAKE NEWS
153,viv,408,FAKE NEWS
218,nom,408,FAKE NEWS
1353,famil,406,FAKE NEWS
296,volt,404,FAKE NEWS
635,bolsonar,402,FAKE NEWS
2548,americ,400,FAKE NEWS
203,jos,398,FAKE NEWS
291,informaco,396,FAKE NEWS
1087,ameac,396,FAKE NEWS
765,cois,394,FAKE NEWS
170,hom,393,FAKE NEWS
1045,comec,393,FAKE NEWS
152,apen,392,FAKE NEWS
307,local,392,FAKE NEWS
34,serv,391,FAKE NEWS
490,acab,391,FAKE NEWS
857,abaix,388,FAKE NEWS
492,rousseff,387,FAKE NEWS
12,pmdb,384,FAKE NEWS
194,continu,381,FAKE NEWS
588,pov,381,FAKE NEWS
660,pouc,376,FAKE NEWS
922,conhec,374,FAKE NEWS
115,med,373,FAKE NEWS
401,alem,373,FAKE NEWS
64,temp,369,FAKE NEWS
947,declar,369,FAKE NEWS
1205,silv,366,FAKE NEWS
1647,campanh,366,FAKE NEWS
2970,guerr,366,FAKE NEWS
835,lid,363,FAKE NEWS
341,ant,362,FAKE NEWS
2557,trump,362,FAKE NEWS
2772,ataqu,360,FAKE NEWS
790,poss,359,FAKE NEWS
970,nad,358,FAKE NEWS
390,entr,357,FAKE NEWS
1135,trat,357,FAKE NEWS
605,propin,355,FAKE NEWS
210,nacion,354,FAKE NEWS
556,mort,354,FAKE NEWS
4,coloc,352,FAKE NEWS
537,seguranc,352,FAKE NEWS
2799,kim,352,FAKE NEWS
613,confirm,351,FAKE NEWS
956,seman,350,FAKE NEWS
665,petrobr,349,FAKE NEWS
197,assim,347,FAKE NEWS
271,sant,342,FAKE NEWS
893,cit,342,FAKE NEWS
103,ocorr,341,FAKE NEWS
1052,medic,341,FAKE NEWS
87,hor,340,FAKE NEWS
1426,ofic,339,FAKE NEWS
1585,defend,336,FAKE NEWS
