,Word,Frequency,Classification
114,gent,2196,REAL NEWS
764,propin,2195,REAL NEWS
23,not,2174,REAL NEWS
1392,tud,2174,REAL NEWS
214,menos,2161,REAL NEWS
595,lid,2149,REAL NEWS
1345,ocorr,2137,REAL NEWS
283,entr,2120,REAL NEWS
1334,silv,2118,REAL NEWS
1739,arm,2117,REAL NEWS
61,envolv,2112,REAL NEWS
299,local,2110,REAL NEWS
534,prov,2104,REAL NEWS
73,terc,2101,REAL NEWS
176,sul,2080,REAL NEWS
1203,la,2075,REAL NEWS
984,depo,2061,REAL NEWS
700,fez,2040,REAL NEWS
164,assim,2037,REAL NEWS
645,relaca,2037,REAL NEWS
35,seman,2036,REAL NEWS
104,ach,2034,REAL NEWS
1245,ness,2032,REAL NEWS
583,mostr,2022,REAL NEWS
119,cois,2013,REAL NEWS
951,sempr,2006,REAL NEWS
637,continu,2002,REAL NEWS
364,fim,1996,REAL NEWS
177,americ,1966,REAL NEWS
626,pouc,1962,REAL NEWS
1361,centr,1942,REAL NEWS
125,contrat,1941,REAL NEWS
916,nenhum,1939,REAL NEWS
776,delaca,1928,REAL NEWS
543,problem,1922,REAL NEWS
421,pra,1917,REAL NEWS
254,sant,1914,REAL NEWS
1234,aqu,1909,REAL NEWS
510,tom,1903,REAL NEWS
